run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,time_microseconds
354,fork,25578365810973,76583,0,0,0,0,-1,-1,76.58
355,fork,25578365889572,77528,0,0,0,0,-1,-1,77.53
356,fork,25578365969104,84712,0,0,0,0,-1,-1,84.71
357,fork,25578366055952,74712,0,0,0,0,-1,-1,74.71
358,fork,25578366132694,72681,0,0,0,0,-1,-1,72.68
359,fork,25578366207515,76080,0,0,0,0,-1,-1,76.08
360,fork,25578366285626,77411,0,0,0,0,-1,-1,77.41
361,fork,25578366365039,70964,0,0,0,0,-1,-1,70.96
362,fork,25578366438003,74282,0,0,0,0,-1,-1,74.28
363,fork,25578366514259,74928,0,0,0,0,-1,-1,74.93
364,fork,25578366591199,72668,0,0,0,0,-1,-1,72.67
365,fork,25578366665947,79854,0,0,0,0,-1,-1,79.85
366,fork,25578366747815,76760,0,0,0,0,-1,-1,76.76
367,fork,25578366826600,73440,0,0,0,0,-1,-1,73.44
368,fork,25578366902039,75893,0,0,0,0,-1,-1,75.89
369,fork,25578366979993,78374,0,0,0,0,-1,-1,78.37
370,fork,25578367060506,91383,0,0,0,0,-1,-1,91.38
371,fork,25578367153918,91888,0,0,0,0,-1,-1,91.89
372,fork,25578367247811,78086,0,0,0,0,-1,-1,78.09
373,fork,25578367327888,73601,0,0,0,0,-1,-1,73.60
374,fork,25578367403506,75488,0,0,0,0,-1,-1,75.49
375,fork,25578367481000,71444,0,0,0,0,-1,-1,71.44
376,fork,25578367554463,72158,0,0,0,0,-1,-1,72.16
377,fork,25578367628614,76262,0,0,0,0,-1,-1,76.26
378,fork,25578367706876,76032,0,0,0,0,-1,-1,76.03
379,fork,25578367784898,134459,0,0,0,0,-1,-1,134.46
380,fork,25578367921458,77379,0,0,0,0,-1,-1,77.38
381,fork,25578368006399,100936,0,0,0,0,-1,-1,100.94
382,fork,25578368109503,81794,0,0,0,0,-1,-1,81.79
383,fork,25578368193334,79877,0,0,0,0,-1,-1,79.88
384,fork,25578368275950,79086,0,0,0,0,-1,-1,79.09
385,fork,25578368357643,75810,0,0,0,0,-1,-1,75.81
386,fork,25578368436027,75326,0,0,0,0,-1,-1,75.33
387,fork,25578368513926,74199,0,0,0,0,-1,-1,74.20
388,fork,25578368590702,72656,0,0,0,0,-1,-1,72.66
389,fork,25578368665922,79808,0,0,0,0,-1,-1,79.81
390,fork,25578368748372,75232,0,0,0,0,-1,-1,75.23
391,fork,25578368826163,78402,0,0,0,0,-1,-1,78.40
392,fork,25578368907337,77989,0,0,0,0,-1,-1,77.99
393,fork,25578368988039,243163,0,0,0,0,-1,-1,243.16
394,fork,25578369235293,100630,0,0,0,0,-1,-1,100.63
395,fork,25578369339341,80424,0,0,0,0,-1,-1,80.42
396,fork,25578369422872,76917,0,0,0,0,-1,-1,76.92
397,fork,25578369502927,77131,0,0,0,0,-1,-1,77.13
398,fork,25578369582820,75534,0,0,0,0,-1,-1,75.53
399,fork,25578369661038,74288,0,0,0,0,-1,-1,74.29
400,fork,25578369738101,77414,0,0,0,0,-1,-1,77.41
401,fork,25578369818136,72586,0,0,0,0,-1,-1,72.59
402,fork,25578369893355,73307,0,0,0,0,-1,-1,73.31
403,fork,25578369969470,93590,0,0,0,0,-1,-1,93.59
404,fork,25578370066186,74467,0,0,0,0,-1,-1,74.47
405,fork,25578370143360,74555,0,0,0,0,-1,-1,74.56
406,fork,25578370220525,73261,0,0,0,0,-1,-1,73.26
407,fork,25578370324731,93565,0,0,0,0,-1,-1,93.56
408,fork,25578370420404,77251,0,0,0,0,-1,-1,77.25
409,fork,25578370500014,81275,0,0,0,0,-1,-1,81.28
410,fork,25578370583434,79333,0,0,0,0,-1,-1,79.33
411,fork,25578370664712,89869,0,0,0,0,-1,-1,89.87
412,fork,25578370756652,74836,0,0,0,0,-1,-1,74.84
413,fork,25578370833520,75796,0,0,0,0,-1,-1,75.80
414,fork,25578370911468,76140,0,0,0,0,-1,-1,76.14
415,fork,25578370989844,100068,0,0,0,0,-1,-1,100.07
416,fork,25578371092033,65346,0,0,0,0,-1,-1,65.35
417,fork,25578371158662,63564,0,0,0,0,-1,-1,63.56
